Mes,Ene.,Feb.,Mar.,Abr.,May.,Jun.,Jul.,Ago.,Sep.,Oct.,Nov.,Dic.,Anual
Temp. máx. abs.(°C),22.4,24.5,26.0,25.4,29.4,34.9,34.8,37.4,33.4,30.4,25.2,23.2,37.4
Temp. máx. media (°C),14.0,14.5,16.4,18.5,21.7,25.5,28.3,28.9,26.0,22.3,17.6,14.5,20.7
Temp. media (°C),9.7,10.2,12.3,14.5,17.8,21.7,24.5,25.1,22.1,18.3,13.3,10.4,16.7
Temp. mín. media (°C),5.5,5.9,8.1,10.4,13.8,17.9,20.8,21.3,18.0,14.3,9.1,6.2,12.6
Temp. mín. abs.(°C),-7.2,-6.6,-1.4,-0.2,3.0,7.8,11.4,9.5,7.6,3.8,-1.4,-8.0,-8.0
Precipitacióntotal (mm),41.3,30.1,41.7,47.3,41.9,26.3,27.2,51.2,86.1,82.1,45.5,37.3,558
Días de precipitaciones (≥ 1 mm),3.7,4.0,4.5,5.1,4.7,3.6,1.8,4.5,5.2,6.3,5.1,4.4,53.3
Días de nevadas (≥ ),0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4
Horas de sol,149,163,200,220,244,262,310,282,219,180,146,138,2513
Humedad relativa(%),70,70,70,69,70,68,67,68,70,73,71,69,69
Fuente n.º 1:Agencia Estatal de Meteorología[28]​[36]​,,,,,,,,,,,,,
Fuente n.º 2:Agencia Estatal de Meteorología(medias y precipitación 1991-2020)[37]​[38]​,,,,,,,,,,,,,
